species,_long,_short,_random_seed,downsample,dummy,_status
#Carex_pseudochinensis-0,SRR30757341,SRR30757340,0,50,dummy,done
Lolium_perenne-0,SRR13386519,SRR13386518,0,50,dummy,done
Anthoceros_angustus-0,SRR9696346,SRR9662965,0,50,dummy,done
Macadamia_tetraphylla-0,SRR10424548,SRR10424549,0,50,dummy,done
Spirodela_polyrhiza-0,SRR11472010,SRR11472009,0,50,dummy,done
Vigna_radiata-0,SRR12549541,SRR12549533,0,50,dummy,done
Brassica_rapa-0,ERR6210792,ERR6210790,0,50,dummy,done
Trifolium_pratense-0,SRR15433794,SRR15433795,0,50,dummy,done
Anthoceros_agrestis-0,SRR10190639,SRR10250248,0,50,dummy,done
Punica_granatum-0,SRR24893686,SRR24893685,0,50,dummy,done
Taraxacum_mongolicum-0,SRR19182970,SRR19182971,0,50,dummy,done
Salix_dunnii-0,SRR12893432,SRR12893433,0,50,dummy,done
#Carex_pseudochinensis-10,SRR30757341,SRR30757340,0,10,dummy,done
Lolium_perenne-10,SRR13386519,SRR13386518,0,10,dummy,done
Anthoceros_angustus-10,SRR9696346,SRR9662965,0,10,dummy,done
Macadamia_tetraphylla-10,SRR10424548,SRR10424549,0,10,dummy,done
Spirodela_polyrhiza-10,SRR11472010,SRR11472009,0,10,dummy,done
Vigna_radiata-10,SRR12549541,SRR12549533,0,10,dummy,done
Brassica_rapa-10,ERR6210792,ERR6210790,0,10,dummy,done
Trifolium_pratense-10,SRR15433794,SRR15433795,0,10,dummy,done
Anthoceros_agrestis-10,SRR10190639,SRR10250248,0,10,dummy,done
Punica_granatum-10,SRR24893686,SRR24893685,0,10,dummy,done
Taraxacum_mongolicum-10,SRR19182970,SRR19182971,0,10,dummy,done
Salix_dunnii-10,SRR12893432,SRR12893433,0,10,dummy,done
#Carex_pseudochinensis-20,SRR30757341,SRR30757340,0,1,dummy,done
Lolium_perenne-20,SRR13386519,SRR13386518,0,1,dummy,done
Anthoceros_angustus-20,SRR9696346,SRR9662965,0,1,dummy,done
Macadamia_tetraphylla-20,SRR10424548,SRR10424549,0,1,dummy,done
Spirodela_polyrhiza-20,SRR11472010,SRR11472009,0,1,dummy,done
Vigna_radiata-20,SRR12549541,SRR12549533,0,1,dummy,done
Brassica_rapa-20,ERR6210792,ERR6210790,0,1,dummy,done
Trifolium_pratense-20,SRR15433794,SRR15433795,0,1,dummy,done
Anthoceros_agrestis-20,SRR10190639,SRR10250248,0,1,dummy,done
Punica_granatum-20,SRR24893686,SRR24893685,0,1,dummy,done
Taraxacum_mongolicum-20,SRR19182970,SRR19182971,0,1,dummy,done
Salix_dunnii-20,SRR12893432,SRR12893433,0,1,dummy,done
#Carex_pseudochinensis-30,SRR30757341,SRR30757340,0,0.1,dummy,done
Lolium_perenne-30,SRR13386519,SRR13386518,0,0.1,dummy,done
Anthoceros_angustus-30,SRR9696346,SRR9662965,0,0.1,dummy,done
Macadamia_tetraphylla-30,SRR10424548,SRR10424549,0,0.1,dummy,done
Spirodela_polyrhiza-30,SRR11472010,SRR11472009,0,0.1,dummy,done
Vigna_radiata-30,SRR12549541,SRR12549533,0,0.1,dummy,done
Brassica_rapa-30,ERR6210792,ERR6210790,0,0.1,dummy,done
Trifolium_pratense-30,SRR15433794,SRR15433795,0,0.1,dummy,done
Anthoceros_agrestis-30,SRR10190639,SRR10250248,0,0.1,dummy,done
Punica_granatum-30,SRR24893686,SRR24893685,0,0.1,dummy,done
Taraxacum_mongolicum-30,SRR19182970,SRR19182971,0,0.1,dummy,done
Salix_dunnii-30,SRR12893432,SRR12893433,0,0.1,dummy,done
